K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
8,0.005,0.0001,128,2,0.0006750128814019263,0.32607322931289673,2.7840056
7,0.005,0.0005,32,3,0.0016066166572272778,0.49998676776885986,2.7998543
7,0.005,0.0001,32,2,0.0008379321079701185,0.35832053422927856,2.8006692
7,0.001,0.0001,128,2,0.0006845958414487541,0.32795950770378113,2.8017251
6,0.001,5e-05,128,3,0.0008709633839316666,0.36220797896385193,2.8225648
7,0.001,5e-05,128,2,0.0006878840504214168,0.3245437443256378,2.831535
7,0.005,0.0005,32,2,0.0014885159907862544,0.4719735383987427,2.8496742
6,0.001,0.0001,128,2,0.0008285007206723094,0.3389994502067566,2.8571784
7,0.005,0.0005,128,2,0.0017476747743785381,0.50719153881073,2.8746076
5,0.01,0.0001,128,1,0.0008111603674478829,0.3535020649433136,2.8878121
6,0.001,5e-05,128,2,0.0007169378804974258,0.3349059820175171,2.8942316
5,0.01,0.0005,128,2,0.0025661797262728214,0.6361100673675537,2.8987012
5,0.01,0.0005,128,3,0.00141458201687783,0.467560738325119,2.9099476
7,0.005,0.0005,128,1,0.0015865127788856626,0.50873863697052,2.910073
5,0.005,0.0005,128,2,0.0012684317771345377,0.4490468502044678,2.917444
5,0.001,0.0001,128,2,0.0009015196119435132,0.3659614026546478,2.920427
6,0.005,0.0005,64,1,0.0013566354755312204,0.4484875202178955,2.9342422
6,0.01,0.0001,32,3,0.0007569926674477756,0.3518761694431305,2.9693794
6,0.01,0.0005,128,2,0.00238856952637434,0.5889115333557129,2.9804032
5,0.005,0.0001,32,2,0.0008697659941390157,0.36872029304504395,2.9862387
5,0.001,0.0005,128,2,0.0020193152595311403,0.5398085713386536,2.9996266
7,0.005,0.0001,128,2,0.0006364431465044618,0.3136771321296692,3.0025697
6,0.005,0.0005,32,3,0.0010769664077088237,0.41429638862609863,3.0115914
8,0.01,0.0005,128,2,0.0015274232719093561,0.48029980063438416,3.0166574
5,0.005,0.0001,32,3,0.000903516891412437,0.37624382972717285,3.066196
8,0.01,0.0001,32,1,0.0005948182661086321,0.3151780962944031,3.0708003
5,0.005,1e-05,128,1,0.0008493601926602423,0.3706873059272766,3.0733066
5,0.01,5e-05,32,3,0.0007712318911217153,0.35135284066200256,3.078865
6,0.01,0.0001,64,1,0.000683299673255533,0.3271830379962921,3.102988
5,0.005,5e-05,64,2,0.0007405258947983384,0.347771018743515,3.1045468
6,0.005,5e-05,128,3,0.0008350073476321995,0.3515775501728058,3.1133835
6,0.01,5e-05,32,1,0.0006750827305950224,0.3229720890522003,3.1238468
6,0.005,0.0001,128,2,0.0007935459143482149,0.351270467042923,3.137955
7,0.01,1e-05,32,1,0.0006483622128143907,0.3154374063014984,3.1437066
7,0.01,0.0001,64,2,0.0007026347448118031,0.32667577266693115,3.1499825
